GENESIS-Tabelle: 12521-0040
Ausländer: Kreise, Stichtag, Geschlecht;;;;;
Ausländerstatistik;;;;;
Ausländer (Anzahl);;;;;
;;;männlich;weiblich;Insgesamt
31.12.2020;13062;Uecker-Randow, Landkreis (bis 03.09.2011);-;-;-
31.12.2020;13071;Mecklenburgische Seenplatte, Landkreis;4955;3775;8730
31.12.2020;13072;Rostock, Landkreis;4750;3155;7905
31.12.2020;13073;Vorpommern-Rügen, Landkreis;5690;4615;10305
31.12.2020;13074;Nordwestmecklenburg, Landkreis;3610;2745;6355
31.12.2020;13075;Vorpommern-Greifswald, Landkreis;6270;5375;11645
31.12.2020;13076;Ludwigslust-Parchim, Landkreis;7600;4945;12545
31.12.2020;14161;Chemnitz, kreisfreie Stadt (bis 31.07.2008);-;-;-
31.12.2020;14166;Plauen, kreisfreie Stadt (bis 31.07.2008);-;-;-
31.12.2020;14167;Zwickau, kreisfreie Stadt (bis 31.07.2008);-;-;-
31.12.2020;14171;Annaberg, Landkreis (bis 31.07.2008);-;-;-
31.12.2020;14173;Chemnitzer Land, Landkreis (bis 31.07.2008);-;-;-
31.12.2020;14177;Freiberg, Landkreis (bis 31.07.2008);-;-;-
31.12.2020;14178;Vogtlandkreis (bis 31.07.2008);-;-;-
31.12.2020;14181;Mittlerer Erzgebirgskreis (bis 31.07.2008);-;-;-
31.12.2020;14182;Mittweida, Landkreis (bis 31.07.2008);-;-;-
31.12.2020;14188;Stollberg, Landkreis (bis 31.07.2008);-;-;-
31.12.2020;14191;Aue-Schwarzenberg, Landkreis (bis 31.07.2008);-;-;-
31.12.2020;14193;Zwickauer Land, Landkreis (bis 31.07.2008);-;-;-
31.12.2020;14262;Dresden, kreisfreie Stadt (bis 31.07.2008);-;-;-
31.12.2020;14263;Görlitz, kreisfreie Stadt (bis 31.07.2008);-;-;-
31.12.2020;14264;Hoyerswerda, kreisfreie Stadt (bis 31.07.2008);-;-;-
31.12.2020;14272;Bautzen, Landkreis (bis 31.07.2008);-;-;-
