GENESIS-Tabelle: 12411-0018
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2020;03461;Wesermarsch, Landkreis;1209;1224;1555;2066;1346;966;2609;2466;2546;2308;2345;2665;3827;4050;3400;5153;4594;1130;1140;1392;1856;1306;930;2139;2192;2387;2246;2324;2676;3751;4029;3234;5336;6127
31.12.2020;03462;Wittmund, Landkreis;706;792;1056;1330;842;647;1542;1536;1551;1410;1487;1694;2367;2432;2123;3698;2911;703;708;931;1281;837;601;1388;1290;1542;1481;1559;1798;2401;2502;2488;3887;3863
31.12.2020;04011;Bremen, kreisfreie Stadt;8844;8490;10030;12547;7688;5732;19799;21071;21695;19039;17128;16820;21394;21026;17083;26111;25344;8316;7905;9397;11831;6955;5237;17532;19773;20246;18562;16634;16736;20553;20939;18255;30208;37653
31.12.2020;04012;Bremerhaven, kreisfreie Stadt;1777;1893;2263;2785;1677;1192;3644;3914;4011;3611;3433;3442;4095;4296;3745;5727;5044;1679;1729;2102;2627;1590;1137;3466;3260;3403;3075;3099;3184;3857;4421;4000;6837;7542
31.12.2020;05111;Düsseldorf, kreisfreie Stadt;9410;9432;11193;13782;7578;5063;16236;22764;26289;22993;20339;19934;24139;22690;17616;25141;25376;8959;8819;10779;12875;7208;5069;17450;25118;27192;23291;20519;19596;23064;22327;18740;30466;39076
31.12.2020;05112;Duisburg, kreisfreie Stadt;7818;8026;9546;11948;7236;5213;15636;17486;17598;15427;15050;15438;18998;19817;16460;22494;21053;7339;7461;8870;11328;6778;4797;13985;15841;16729;14825;14868;15265;18506;19069;16618;26130;32232
31.12.2020;05113;Essen, kreisfreie Stadt;8917;8927;10643;13056;7946;5236;17116;20483;21588;19056;17085;17090;21744;21896;18880;27722;25784;8547;8416;10052;12378;7289;5149;16220;20531;20905;18569;17272;17225;21505;21979;19994;32431;40784
31.12.2020;05114;Krefeld, kreisfreie Stadt;3299;3365;4205;5401;3412;2235;6600;7412;7410;6580;6510;6798;9136;9290;7766;10792;10493;3136;3199;3911;4913;3069;2199;5958;6724;6961;6762;6633;7050;9394;9132;8210;12882;16007
31.12.2020;05116;Mönchengladbach, kreisfreie Stadt;3862;4069;4737;6149;3734;2692;7446;8717;9189;8092;7374;7595;10289;10643;9095;13072;11156;3697;3722;4531;5656;3528;2474;7181;8100;8378;7827;7627;7758;9985;10772;9464;14535;16519
31.12.2020;05117;Mülheim an der Ruhr, kreisfreie Stadt;2535;2567;3256;3777;2331;1564;4586;5213;5374;4900;4703;4913;6778;6909;5842;8602;8559;2384;2434;2940;3680;2183;1442;3945;4795;5213;5111;5030;5140;7037;7038;6371;10309;13460
